time,01JP301D01,01JP301D05
2022-04-18 02:38:10+00:00,0.0,
2022-04-18 02:38:25+00:00,,0.0
2022-04-18 02:38:54+00:00,,0.0
2022-04-18 02:39:09+00:00,0.0,
2022-04-18 02:39:23+00:00,,0.0
2022-04-18 02:39:52+00:00,,0.0
2022-04-18 02:40:08+00:00,0.0,
2022-04-18 02:40:21+00:00,,0.0
2022-04-18 02:40:50+00:00,,0.0
2022-04-18 02:41:07+00:00,0.0,
2022-04-18 02:41:19+00:00,,0.0
2022-04-18 02:41:48+00:00,,0.0
2022-04-18 02:42:06+00:00,0.0,
2022-04-18 02:42:17+00:00,,0.0
2022-04-18 02:42:46+00:00,,0.0
2022-04-18 02:43:05+00:00,0.0,
2022-04-18 02:43:15+00:00,,0.0
2022-04-18 02:43:44+00:00,,0.0
2022-04-18 02:44:04+00:00,0.0,
2022-04-18 02:44:13+00:00,,0.0
2022-04-18 02:44:42+00:00,,0.0
2022-04-18 02:45:03+00:00,0.0,
2022-04-18 02:45:11+00:00,,0.0
2022-04-18 02:45:40+00:00,,0.0
2022-04-18 02:46:02+00:00,0.0,
2022-04-18 02:46:09+00:00,,0.0
2022-04-18 02:46:38+00:00,,0.0
2022-04-18 02:47:01+00:00,0.0,
2022-04-18 02:47:07+00:00,,0.0
2022-04-18 02:47:36+00:00,,0.0
2022-04-18 02:48:00+00:00,0.0,
2022-04-18 02:48:05+00:00,,0.0
2022-04-18 02:48:34+00:00,,0.0
2022-04-18 02:48:59+00:00,0.0,
2022-04-18 02:49:03+00:00,,0.0
2022-04-18 02:49:32+00:00,,0.0
2022-04-18 02:49:58+00:00,0.0,
2022-04-18 02:50:01+00:00,,0.0
2022-04-18 02:50:30+00:00,,0.0
2022-04-18 02:50:57+00:00,0.0,
2022-04-18 02:50:59+00:00,,0.0
2022-04-18 02:51:28+00:00,,0.0
2022-04-18 02:51:56+00:00,0.0,
2022-04-18 02:51:57+00:00,,0.0
2022-04-18 02:52:26+00:00,,0.0
2022-04-18 02:52:55+00:00,0.0,0.0
2022-04-18 02:53:24+00:00,,0.0
2022-04-18 02:53:53+00:00,,0.0
2022-04-18 02:53:54+00:00,0.0,
2022-04-18 02:54:22+00:00,,0.0
2022-04-18 02:54:51+00:00,,0.0
2022-04-18 02:54:53+00:00,0.0,
2022-04-18 02:55:20+00:00,,0.0
2022-04-18 02:55:49+00:00,,0.0
2022-04-18 02:55:52+00:00,0.0,
2022-04-18 02:56:18+00:00,,0.0
2022-04-18 02:56:47+00:00,,0.0
2022-04-18 02:56:51+00:00,0.0,
2022-04-18 02:57:16+00:00,,0.0
2022-04-18 02:57:45+00:00,,0.0
2022-04-18 02:57:50+00:00,0.0,
2022-04-18 02:58:14+00:00,,0.0
2022-04-18 02:58:43+00:00,,0.0
2022-04-18 02:58:49+00:00,0.0,
2022-04-18 02:59:12+00:00,,0.0
2022-04-18 02:59:41+00:00,,0.0
2022-04-18 02:59:48+00:00,0.0,
2022-04-18 03:00:10+00:00,,0.0
2022-04-18 03:00:39+00:00,,0.0
2022-04-18 03:00:47+00:00,0.0,
2022-04-18 03:01:08+00:00,,0.0
2022-04-18 03:01:37+00:00,,0.0
2022-04-18 03:01:46+00:00,0.0,
2022-04-18 03:02:06+00:00,,0.0
2022-04-18 03:02:35+00:00,,0.0
2022-04-18 03:02:45+00:00,0.0,
2022-04-18 03:03:04+00:00,,0.0
2022-04-18 03:03:33+00:00,,0.0
2022-04-18 03:03:44+00:00,0.0,
2022-04-18 03:04:02+00:00,,0.0
2022-04-18 03:04:31+00:00,,0.0
2022-04-18 03:04:43+00:00,0.0,
2022-04-18 03:05:00+00:00,,0.0
2022-04-18 03:05:29+00:00,,0.0
2022-04-18 03:05:42+00:00,0.0,
2022-04-18 03:05:58+00:00,,0.0
2022-04-18 03:06:27+00:00,,0.0
2022-04-18 03:06:41+00:00,0.0,
2022-04-18 03:06:56+00:00,,0.0
2022-04-18 03:07:25+00:00,,0.0
2022-04-18 03:07:40+00:00,0.0,
2022-04-18 03:07:54+00:00,,0.0
2022-04-18 03:08:23+00:00,,0.0
2022-04-18 03:08:40+00:00,0.0,
2022-04-18 03:08:53+00:00,,0.0
2022-04-18 03:09:22+00:00,,0.0
2022-04-18 03:09:39+00:00,0.0,
2022-04-18 03:09:51+00:00,,0.0
2022-04-18 03:10:20+00:00,,0.0
2022-04-18 03:10:38+00:00,0.0,
2022-04-18 03:10:49+00:00,,0.0
2022-04-18 03:11:18+00:00,,0.0
2022-04-18 03:11:37+00:00,0.0,
2022-04-18 03:11:47+00:00,,0.0
2022-04-18 03:12:16+00:00,,0.0
2022-04-18 03:12:36+00:00,0.0,
2022-04-18 03:12:45+00:00,,0.0
2022-04-18 03:13:14+00:00,,0.0
2022-04-18 03:13:35+00:00,0.0,
2022-04-18 03:13:43+00:00,,0.0
2022-04-18 03:14:12+00:00,,0.0
2022-04-18 03:14:34+00:00,0.0,
2022-04-18 03:14:41+00:00,,0.0
2022-04-18 03:15:10+00:00,,0.0
2022-04-18 03:15:33+00:00,0.0,
2022-04-18 03:15:39+00:00,,0.0
2022-04-18 03:16:08+00:00,,0.0
2022-04-18 03:16:32+00:00,0.0,
2022-04-18 03:16:37+00:00,,0.0
2022-04-18 03:17:06+00:00,,0.0
2022-04-18 03:17:31+00:00,0.0,
2022-04-18 03:17:35+00:00,,0.0
2022-04-18 03:18:04+00:00,,0.0
2022-04-18 03:18:30+00:00,0.0,
2022-04-18 03:18:33+00:00,,0.0
2022-04-18 03:19:02+00:00,,0.0
2022-04-18 03:19:29+00:00,0.0,
2022-04-18 03:19:31+00:00,,0.0
2022-04-18 03:20:00+00:00,,0.0
2022-04-18 03:20:28+00:00,0.0,
2022-04-18 03:20:29+00:00,,0.0
2022-04-18 03:20:58+00:00,,0.0
2022-04-18 03:21:27+00:00,0.0,0.0
2022-04-18 03:21:56+00:00,,0.0
2022-04-18 03:22:25+00:00,,0.0
2022-04-18 03:22:26+00:00,0.0,
2022-04-18 03:22:54+00:00,,0.0
2022-04-18 03:23:23+00:00,,0.0
2022-04-18 03:23:25+00:00,0.0,
2022-04-18 03:23:52+00:00,,0.0
2022-04-18 03:24:21+00:00,,0.0
2022-04-18 03:24:24+00:00,0.0,
2022-04-18 03:24:50+00:00,,0.0
2022-04-18 03:25:19+00:00,,0.0
2022-04-18 03:25:23+00:00,0.0,
2022-04-18 03:25:48+00:00,,0.0
2022-04-18 03:26:17+00:00,,0.0
2022-04-18 03:26:22+00:00,0.0,
2022-04-18 03:26:46+00:00,,0.0
2022-04-18 03:27:15+00:00,,0.0
